Agent,ELO,Wins,Losses,Draws,Win%
NEAT-_gen10,NEAT-_gen19,18,7,0
NEAT-_gen10,NEAT-_gen26,13,12,0
NEAT-_gen10,NEAT-_gen27,17,8,0
NEAT-_gen10,NEAT-_gen29,12,13,0
NEAT-_gen10,NEAT-_gen17,16,9,0
NEAT-_gen10,NEAT-_gen20,13,12,0
NEAT-_gen10,NEAT-_gen01_extended_20250510-091729,16,9,0
NEAT-_gen10,NEAT-_gen03_extended_20250510-091729,16,9,0
NEAT-_gen10,NEAT-_gen09_extended_20250510-091729,13,12,0
NEAT-_gen10,NEAT-_gen15_extended_20250510-091729,18,7,0
NEAT-_gen10,NEAT-_gen24_extended_20250510-091729,10,15,0
NEAT-_gen10,AlphaGo-64_g10_e3_20250325-192621,18,7,0
NEAT-_gen10,AlphaGo-128_g1000_e10_20250509-072804,16,9,0
NEAT-_gen10,AlphaGo-128_g20_e6_20250325-192146,11,14,0
NEAT-_gen10,AlphaGo-128_g20_e6_20250325-192808,11,14,0
NEAT-_gen10,AlphaGo-64_g100_e5_20250509-080406,12,13,0
NEAT-_gen10,AlphaGo-64_g10_e3_20250325-192146,14,11,0
NEAT-_gen10,AlphaGo-64_g10_e3_20250325-192808,15,10,0
NEAT-_gen10,AlphaGo-128_g20_e6_20250325-192621,13,12,0
NEAT-_gen10,AlphaGo-256_g2000_e20_20250509-080407,12,13,0
NEAT-_gen10,AlphaGo-64_g100_e5_20250509-072802,10,15,0
NEAT-_gen10,AlphaGo-128_g20_e6_20250325-192621_extended_20250510-091729,9,16,0
NEAT-_gen10,AlphaGo-64_g100_e5_20250509-072802_extended_20250510-091729,16,9,0
NEAT-_gen14,NEAT-_gen16,15,10,0
NEAT-_gen14,NEAT-_gen18,11,14,0
NEAT-_gen14,NEAT-_gen24,14,11,0
NEAT-_gen14,NEAT-_gen01,15,10,0
NEAT-_gen14,NEAT-_gen02,13,12,0
NEAT-_gen14,NEAT-_gen03,13,12,0
NEAT-_gen14,NEAT-_gen09,12,13,0
NEAT-_gen14,NEAT-_gen25,14,11,0
NEAT-_gen14,NEAT-_gen04,15,10,0
NEAT-_gen14,NEAT-_gen12,9,16,0
NEAT-_gen14,NEAT-_gen15,15,10,0
NEAT-_gen14,NEAT-_gen21,13,12,0
NEAT-_gen14,NEAT-_gen11,14,11,0
NEAT-_gen14,NEAT-_gen07,17,8,0
NEAT-_gen14,NEAT-_gen22,11,14,0
NEAT-_gen14,NEAT-_gen23,11,14,0
NEAT-_gen14,NEAT-_gen05,13,12,0
NEAT-_gen14,NEAT-_gen06,12,13,0
NEAT-_gen14,NEAT-_gen28,11,14,0
NEAT-_gen14,NEAT-_gen30,12,13,0
NEAT-_gen14,NEAT-_gen13,12,13,0
NEAT-_gen14,NEAT-_gen19,23,2,0
NEAT-_gen14,NEAT-_gen26,14,11,0
NEAT-_gen14,NEAT-_gen27,17,8,0
NEAT-_gen14,NEAT-_gen29,14,11,0
NEAT-_gen14,NEAT-_gen17,15,10,0
NEAT-_gen14,NEAT-_gen20,17,8,0
NEAT-_gen14,NEAT-_gen01_extended_20250510-091729,14,11,0
NEAT-_gen14,NEAT-_gen03_extended_20250510-091729,17,8,0
NEAT-_gen14,NEAT-_gen09_extended_20250510-091729,15,10,0
NEAT-_gen14,NEAT-_gen15_extended_20250510-091729,13,12,0
NEAT-_gen14,NEAT-_gen24_extended_20250510-091729,21,4,0
NEAT-_gen14,AlphaGo-64_g10_e3_20250325-192621,9,16,0
NEAT-_gen14,AlphaGo-128_g1000_e10_20250509-072804,13,12,0
NEAT-_gen14,AlphaGo-128_g20_e6_20250325-192146,8,17,0
NEAT-_gen14,AlphaGo-128_g20_e6_20250325-192808,12,13,0
NEAT-_gen14,AlphaGo-64_g100_e5_20250509-080406,15,10,0
NEAT-_gen14,AlphaGo-64_g10_e3_20250325-192146,15,10,0
NEAT-_gen14,AlphaGo-64_g10_e3_20250325-192808,13,12,0
NEAT-_gen14,AlphaGo-128_g20_e6_20250325-192621,12,13,0
NEAT-_gen14,AlphaGo-256_g2000_e20_20250509-080407,13,12,0
NEAT-_gen14,AlphaGo-64_g100_e5_20250509-072802,13,12,0
NEAT-_gen14,AlphaGo-128_g20_e6_20250325-192621_extended_20250510-091729,19,6,0
NEAT-_gen14,AlphaGo-64_g100_e5_20250509-072802_extended_20250510-091729,9,16,0
NEAT-_gen16,NEAT-_gen18,10,15,0
NEAT-_gen16,NEAT-_gen24,17,8,0
NEAT-_gen16,NEAT-_gen01,14,11,0
NEAT-_gen16,NEAT-_gen02,11,14,0
NEAT-_gen16,NEAT-_gen03,9,16,0
NEAT-_gen16,NEAT-_gen09,13,12,0
NEAT-_gen16,NEAT-_gen25,15,10,0
NEAT-_gen16,NEAT-_gen04,12,13,0
